OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
,,,"I think Once we get done with our academic advising, there should be better directions given on where to go.",I loved the evening social and the flashguide stories.,I believe we are expected to behave like adults and live the college experience.,
N/A ,,"The prep session got you thinking about your future at the school and your personal goals which was really good, especially so that you can talk about it with your adviser the next day.",Maybe talking about what the flashguides schedules are like so that you can see what works for them and maybe it'll be something new students can do in the future or else avoid doing if they don't think it'll work for them.,I liked being with students away from parents and the time you got to spend getting to know other kids was one of the best things about this experience.,I believe that I am expected to explore and achieve everything that I can while I am at Kent State.,
Nope,,,,,,
,,,,,to not let yourself be content with doing the bare minimum ,
,,,Making lunch and dinner less crowded,,To succeed and discover who I am. Also get involved!,
,,,No.,Meeting with Academic Advisor.,To show pride in my school and to follow my dreams. I believe that it's okay to change your dreams as long as you're chasing success.,I liked that I got to take my placement tests during my time at DKS because I didn't take them prior to.
no,,,nope,"The resource fair, it was very helpful to learn about programs and opportunities one on one.","To behave appropriately and find my purpose, then use those skills effectively to make a difference and be successful",
,,,,,To succeed not only in academics but in all facets of life,
,"I already knew everything my advisor spoke about, so the session had no real benefit to me outside of meeting and introducing myself to my advisor.",What really stood out to me was the knowledge and enthusiasm of the Flashguides otherwise it was a pretty average orientation.,GPS and Roadmaps that have to do with each individual major. ,Flashguides,"To succeed, excel and be happy.",
,,,,"I liked walking downtown, I met someone new and we became friends quickly",To do well and enjoy college,
,,,,,,
,"My advisor, Rebecca Cash, was a very helpful and kind person to work with. As I mentioned earlier, things would have gone smoother if my acceptance into the CAS living-learning community was on file, but that would be my only ""complaint.""",Sitting in the same place for so long became really mundane really quickly. It was hard to focus on the lectures and I craved walking by the time it was over. Maybe space it out or let the students walk around to different buildings for different lectures. My ADHD was begging me to move around the whole time/,,"I really loved exploring downtown and the social event at night. I finally made some friends that I really connected with and, at that point, I could really see myself having fun and making friends when I start school at Kent. Being an extrovert, I craved interaction with people all day, and didn't really get that until we explored downtown. I live really close to the campus, so I met people from my high school and clung to them most of the day. But when I was walking downtown, I was loud and boisterous and easily made friends. I even got their social medias and met with them the next day. It was a really great experience!","This kind of sounds like a trick question honestly. I think that the normal answer would be geared toward academic success, and while I believe that's true, I also love Kent State because of its stress on individuality and acceptance. As a liberal campus, I believe tolerance and free-thought alike are expected of and encouraged for the students, which is one of the bigger reasons I love Kent State so much.",
,,,,The opportunity to hangout with everyone at the end of the day and meet new people ,Be able to balance school work and social life. I should focus on school spirit and getting involved in addition to my studies ,
,,,,,,
,All good,,No,Going downtown kent,High expectations ,
Give preparation material,,,,,Nothing less than my best,
,,,,I enjoyed the evening free time/activities. It gave me time to actually explore the campus and talk to some of my peers.,To be involved on campus and to focus on my academics.,"Most of the buildings, including the dorms, were uncomfortably warm. "
,,,,,,
,,,,,,
,,,,I loved being able to meet all my fellow classmates.,To strive to find my purpose and be the best I can be,
"it was all fine, my least favorite thing was the graphing because it took longer to figure out but overall, nice test ","My advisor is awesome, she was so helpful and was willing to answer any questions I had. She set up my schedule just how I wanted it, I liked her, easy to talk to!","This was one of the most useful sessions of the day, informative, told me what classes I'd be taking","no, I thought everything had a good amount of time for every session ","I liked being able to stay in a dorm, get a feel for what it was going to be like, I liked the individual session with our advisor the second day also. ","To do my absolute best, have a good attitude, be kind, make friends, have good behavior, be respectful of others ",
,It was great,,Navigating the campus,Scheduling classes was my favorite part because it flowed nicely and my academic advisor was extremely helpful and informative.,Academic excellence and intelligent use of university resources ,
,,,,,The importance to use my tools around me to find my purpose and drive to acheive long-term goals,
,None ,,,,,
,She had a good answer for all of my questions and provided me with the contact information I needed for other concerns. ,There wasn't enough time for a full understanding of how we were supposed to fill out the draft schedule. ,,My favorite part was the walk to downtown Kent the first night and the games and karaoke back at Eastway. I was able to further connect with the new friends I found while learning how to get around campus. ,"As a Kent student, it is expected of me to positively represent my school while utilizing the resources and education provided to me as way in which to discover both my purpose and who I am. ",
,,,,The flash guides were very entertaining and funny yet still informative ,Try to reach your full potential ,
,,,,,,
,,,,,To be following of the rules and be a respectful student while enjoying my time  ,
,,,,Everything outside of the ball room,Be a part of the community and be a responsible student,
,"Very professional, helpful, informative, and approachable.",,The only thing I would add is maybe a few things directed towards older/adult students.,The sample lecture.,Work hard and go to class.,"Victor and the Gold Team were awesome. They were knowledgeable, welcoming, helpful, caring, approachable, and very energetic. "
,,,,,,
,,,no,"student fair, ksu chant w/ mac maniacs, events in eastway, downtown experience",To have responsibility for myself or someone else in any situation necessary. Become academically sound and find my purpose through getting involved. ,
,,,,,To learn and achieve my goals while positively representing Kent State,
,,,I believe the dining time should be longer. The line was so long and we had to rush to eat. ,The flashguides on the blue team. Wonderful human beings. ,To have a good GOA and to be involved ,
N/A,,,Nope, Scheduling classes and making my schedule , To do my hardest and excel as much as possible.  Also make goals and reach those goals in anyway shape or form. ,
,,,,,be responsible but that doesn't mean don't have fun ,
,,,,,,
,,,,Meeting the flashguides and hearing their stories and how all incoming freshmen basically share the same uncertainties really made meeting people easier.,To get good grades and make friends.,
Maybe a different system? It moves slow and the way to input answers was not ideal. ,"I am in College of the Arts and I met with a man to schedule my classes However, he was not my actual academic advisor. He was just a fill-in(I think?) One-on-one personal relationships especially with someone as significant as your academic advisor are very important to me. It was not that big of a deal, but it is something to keep in mind.",,Maybe allot some time to allow the students to explore campus on their own so they can get the big picture of it all. ,Exploring downtown Kent was so fun!! It allowed me to see what Kent had to offer besides the university itself.,"To be myself and have fun. Also, to reach out to the correct resources when needed in a time of need. I believe academic honesty and actually trying is very big here at KSU. If you actually put the work in and try hard at your classes, peers and superiors alike will be willing to help you out. ",
,,,,,Following rules and attending classes ,
No,,,No,Meeting personally with an adviser,Finding my passions and having fun while thriving academically.,
,,,,,,
,,,"I would talk more about the arts! Sure, they're extracurriculars, but many students are majoring in those areas, so it would be nice to learn about the band and choir ensembles.",I loved the Flashguides! They were all so friendly and inviting. You picked the perfect people.,To be mindful of others and pursue my dreams!,"What an awesome experience. It may not have been as enjoyable for others, but, personally, I had a wonderful time. You guys did an awesome job! Very organized."
,,,,,,
,,I took away a tremendous amount of information from the session.,You all should spend more time on telling students the proper method to purchase books.  You all should also let students know where all of the buildings are located.,My favorite part of my Destination Kent experience was getting to hear the stories from the flashguides.  Their stories were great and relatable.,I am expected to do well in school.  I am also expected to enjoy myself on campus.,
Make the scores more understandable for students as many don't understand why their grades are what they would normally consider low.,,,,Getting the opportunity to take to people who are already in the college we are attending and learning about life at KSU from them.,Effort and a positive attitude.,
,,,,The flash guides were very helpful and welcoming and the people at Kent made it a good experience ,Having a balance between my social life and getting my work done in order to be successful ,
,,,,,To make a good reputation for myself.,
,,,,"The evening if the first day, it gave me the time to talk to others in depth.",To participate in extracurricular activities and to succeed academically.,
,,,,The best part about DKS for me was just getting to be on campus for a full day in a half and getting an idea of what dorm life is going to be like. I also enjoyed getting to get a hint of the dining experience as well.,"What I think is going to be expected of me as a Kent State student is making sure I am succeeding academically and taking pride in myself, making sure I am doing everything I can to succeed. If I am having struggles to be sure to ask because with all the resources the campus has to offer, it would be my own fault if I didn't ask for help.",
,,,,,"To do my best in school, and get involved to make it feel like home.",
,,,,,"Go to class, and pursue your interests to find your purpose",
Send out an email reminding students that they are required to take the placement assessments prior to attending DKS so that they don't have to take them during the orientation.,"I absolutely love my academic advisor. She is very personable, welcoming, and was comfortable to talk too. She was very helpful and took an interest in getting to know me better. ",,,I really enjoyed getting to meet with other people that are going to be in the same class as me. The flashguides made it a fun experience and we're great at getting involved and interacting with us. ,Follow all the rules of conduct and to represent the college in a good light. ,
,,,,,,
,,,I really enjoyed spending time with people in my specific major and college. I think that DKS should focus more on this. ,"Visiting downtown and walking around campus. It made me feel more confident, and was enjoyable. ","Pride in your work, and your school, to get involved, and build the person you want to become. ",
,Amazing! Felt very welcomed and every question I had got an exact answer.,,How to get around ALL of campus.,Hanging out in the lounge after day 1.,To find myself and be happy with whatever im doing so that i can fulfill my goals.,
,,,Getting to know the entire campus. Not spending so much time on lectures. ,The evening activities because I got to play smash.,To be successful. ,
,,,,,"Do well in school, get involved. Accept diversity.",
,,,,,to work hard but also get involved,
,,,,,Try my hardest & put all of my effort into my classes.,
Consider students that take college credit in highschool. I took the test to find out I don't even have to take a math course because of my credit. ,My advisor was very helpful,,Getting around campus,Talking one on one with an advisor. ,To become active and participate in class. Join organizations. ,
,It went really well and I feel like I really connected with my advisor. I was the only one from my college so my experience we more personal than other students' which was much more beneficial for me. ,,,"Meeting my advisor was the best part for me because it was an actual ""first step"" into my life at KSU. I also really enjoyed when the flash guides would give us personal advice and tips and tricks to our first year. ",To be involved and to be proud.   ,
,"My advisor was extremely helpful and was completely ontop of her job. She was a lifesaver, I had no idea what classes to take. ",,Navigation. I am a bit of a slow learner in the navigation department so it would be helpful to give at least a small part of DKS as a campus tour.,The people I met and all of the things I discovered I can do at Kent. It made me actually excited for fall to come.,To stand out and to leave your comfort zone. ,
I was just unsure how to know I completed all the things I needed too and when I wqs finished. ,"Myself, being in the college of arts and sciences and having an 11:00 appointment, sat outside that office and did nothing for over an hour. ","At a certain point, doing presentation after presentation for hours and hours got painful. ",,My favorite part was at the end of day one when we were allowed to roam the campus and kind of figure things out for ourselves. ,To be involved in things outside the classroom. Not only pass my classes but additionally thrive as a person. ,
"I was just unsure how to make sure I was 100% done, and where to go when I was finished. ","It was good to meet, but I being in the college of arts and sciences and having an eleven o'clock appointment, I sat outside that office and did nothing for over an hour. ",,,,,
,It kinda sucked because of all my ccp credit i should have been in classes that were for sophmores but were full. That was out of anyones control.,It was really nice that it was geared to our colleges,More time with students in our colleges that have the same majors ,Scheduling classes,To graduate,
,,,,,Behave well and work hard,
,"I thought that it was a really easy process, I am satisfied with my classes and I felt like all my questions were answered ",,it would have been interesting to hear the flashguides talk about the tutoring resources that are available and their personal experiences with it.   ,I found that all the flash guides were welcoming and filled with information. they seemed really interested in my experience at DKS and plans for the future.  ,I believe that I am expected to succeed not only to the best of my abilities but beyond. ,
,,,A little more time in our registration prep with our college discussing our course options. ,Our night session where I got to connect with other students and listen to the flash guides sing karaoke ,Set goals for myself and achieve them in whatever measurable way I determine. ,
,,,"Focusing on what classes are like, focusing on the change in workload also the cost of books and miscellaneous expenses students are likely to encounter. ",Scheduling my classes,To do my work get involved and succeed.,I personally didn't like how much time was spent on the getting involved and being social aspect of school. I feel like a lot of the information was repetitive and kind of felt like I was becoming a freshman in highschool again. Getting involved may help out a lot but talking about it so much kind of made me not want to when I arrive. I would have rather spent that time learning more essential information and tips like how much money you should save up for books and things if you're in charge of your educations finances and things like that.
My math placement test was originally blocked from my flash account and I had to contact campus to figure it out. I would suggest to try and make sure every student can access it without their account being blocked. ,My advisor was fantastic and knew what she was doing which made me feel confident in my future,I'm in college of arts and sciences so it would've been nice to break down into certain majors and talk about what that certain major may need. ,Campus tour so we can get to know how to navigate,I enjoyed the flash guide stories because it helped to hear how others actually felt coming into Kent ,To be involved and make my own path,
,,,,,,
,,,,,,
,"I met with advisors for Interior Design, then decided to change my major to Human Resource Management. Jessica, the advisor in the business college was extremely helpful. I know that she wasn't expecting to have to help me change all of my classes, but she didn't act annoyed at all.",The flash guides had wonderful stories and tips!,Tours of different residence halls ,"My favorite part was when the flash guide told their stories. David's story was very inspirational. (""Go, Do, Be"")",-Go to class!!  -Get involved  -Take advising meetings seriously,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,My academic advising session was the best part of destination Kent State. ,,More time learning to navigate the campus and different buildings. ,Meeting my advisor and receiving encouragement from him. ,Finding my own definition of success and achieving it.,"I came to DKS alone (without my parents) and I felt very lonely. You should encourage students to bring a parent. I got the impression that not everyone would bring parents, but I felt like everyone else besides me did bring their parents. I felt very alone. "
,,,,,,
My foreign language placement test crashed before I was done with the test. It would crash on the same question every time I would try to re-log in on the website.,My advisor worked with me to change and adjust courses to fit the time restraint I wanted and she was very willing to help and took my opinion seriously.,,Walking around campus.,"Having ""mingle time"" with other incoming students.","Go to class, take 15 credit hours a semester, get involved.",
More explanation on foreign language exams  ,,The end of the day needed more pep,Athletics and types of clubs to join,Fair ,Be involved and enjoy the environment of Kent and it's resources ,
,,,,,,
,,,Talk more about loans.,The nighttime program where the students got to walk around. There we're many activities and I had a lot of fun.,To be involved as much as I can but more importantly take care of my academics.,
Would be nice to know what class I have to take right after I finish the test,Maybe have a road map/guide to show a plan for the 4 years of classes,,Lunch,Talking with the Flashguides,Well rounded student who gives and gets from the college experience ,Provide better system for lunch so its not as crowded and disorganized and make breakfast later in the morning
Not at this moment,Appointment  was clear and helpful in my DKS  experience.,Staff was clear and concisely during he entirety of that portion of kent state.,General navigation should have a spot on the Destination Kent State.,"My favorite part was the activities near the end of day 1 in eastway and hearing the flashguides stories. Both exemplified how college should be an opportunity to explore your purpose and ""live"" rather than not take advantage of what college gives you.","Get involved, get help and support when needed so you can find your purpose, and to not be afraid to explore to make new friends and join clubs/organizations at kent state  ",
,I felt slightly rushed,,Getting around campus,"The evening activities, all of the flash guides were dancing and singing which encouraged everyone else to get involved",To succeed and find purpose,This made me even more excited to be a golden flash 
,,,,,To put in the best effort as a student acedemically and to get involved with college events and groups. ,
,,,Financial aid,I loved talking to the flashguides. They made me feel more calm about attending Kent State because they're close to my age but have already gone through the first year process. ,To be involved while finding out my purpose in life.,
,,,,,To make the most of my college experience and utilize on campus resources ,
,,,I wish I would have had more time to get to know the other kids from my major at the very start of day one,"THE FLASH GUIDES WERE AMAZING. They were so informative and not only that, I fell like I made friends in them which is amazing. ","To succeed, meaning to ask for help when I need it to do well. Be poised and have fun. Be accepting of others. ",DKS was the bomb dot com.
Make scores more understandable,,,,,,
,,,,,,
,,,,,,
,,,More time could have been given for learning how to use tools such as GPS Audit.,I enjoyed the flashguides and the time given to interact with other students.,"Get involved, go to class, find my purpose",
,,,,,Initiation and responsibility ,
,,,,,,
Graphing on a computer is really difficult and I felt rushed to do it because it was a timed test ,The guy told me he wasn't my academic advisor. I kept asking where stuff was online and he couldn't show me. Also he scheduled me for classes that another lady told me I didn't need and that they were going to be very rigorous but I had already scheduled them so now I have to call and change my schedule. It's a little frustrating. ,,, I really enjoyed everything about DKS. I step out of my comfort zone and just went up and asked someone if I could sit with them. I really enjoy the last session of the flash guide stories. They kinda hit home with me. ,Being able to succeed and be apart of team you. Knowing that everyone there is there to help me is huge and I'm going to be expected to ask question and figure out who I am ,"I'm really thankful for my experience at DKS. I me too my roommate, I made new friends, I learned a lot that I was not aware of. I completely stepped out of my small comfort zone and survived. I'm so excited to continue my adventure at Kent State and DKS is something that helped me a lot. "
,,,,Scheduling ,Get involved ,
Remind students earlier to take them and make it clearer whether it is necessary to take them,I was very nervous and a little unsure of what would be best to schedule for my first semester. A little more time and guidance would be good.,I needed slightly more guidance as I left still feeling nervous.,No,I enjoyed meeting new people and the free time at the end of day 1,"Finding yourself, being successful",
,,,Getting to know the other students there,"My favorite part was meeting with my psychology advisor and building my schedule. She was very nice and helped me build a schedule that I wanted to have, and that would work best for me and how I am.",I believe that I am expected to perform to the best of my ability.,
,,,,,work hard while having a good time.,
,,,,The evening social because we were able to relax and just have fun. This is where I made a lot of new connections with future peers and current peers,Being accountable and well mannered in interactions with peers and faculty ,
,,,No,Leaving,To graduate ,
,,,,,,
The only feedback I like to provide based on my experience with the online Placement Assessments is that it was very easy to use and it provided enough information for me to understand the content featured in the Assessment.,I felt my experience with Academic Advising was a very good experience to help me prepare for the Fall Semester. I look forward to discussing anything pertaining to my first year of college with my academic advisor if needed throughout the year. ,"The ""College Opportunities and Advising Prep"" program session was very informative as I learned an immense amount of resourceful information to help me familiarize myself with the transition to college. ",I felt that the entire schedule of DKS was flexible in its entirety. Each event was informative in some way as I was able to obtain more insight of what Kent State is like for its students and staff. ,My favorite aspect of DKS was meeting the FlashGuides and hearing their stories about their Kent State experiences. Each FlashGuide was very helpful in allowing me to become familiar with the campus. ,"As a future Kent State student, I expect myself to apply knowledge to my major in becoming familiar of what it is about. I also want to continue my academic success as I work towards a Bachelor's Degree. ",
When taking my spanish placement test the test malfunctioned and I had to email someone to see if I completed the test,,,,,,
,,,,,,
,,,,,success,
,the advisers were an amazing help,,more time getting to know the campus,the flash-guides. they were awesome and engaging in everything they,to be active in student organizations and keep grade up,
,,,Group tour with parent or guest.  Guidance when finding your classes on schedule.,,Academic focus and appropriate behavior on campus. ,
,,,Add a tour where students can see where their classes will be ,Meeting with the academic advisor,To graduate with a degree in a field that I love and to be provided with more opportunities (internships) to help me be more prepared for the career that I want ,
,,,,,,
,,,,,Academic success,
,,,"I think that there should be a little more time with just the flashguides where we are split into small groups and we can ask the flashguides questions and talk to them without being in huge groups. We did this a little bit at DKS, but found there wasn't much time to really let people ask their questions. ","The evening activities allowed me to really break out of my shell and meet some new people, which was nice! I also liked being able to follow the guides in smaller groups and explore the campus and downtown a little bit, since the campus is so big and I'm still kind of unfamiliar with the campus. ","To be successful during my time in college while exploring different ideas, cultures, and beliefs in order to accept others and myself. ","Although I was nervous about spending these two days at Kent without knowing anyone, I immediately settled in and found the atmosphere was comfortable and accepting enough to make new friends and learn more about the campus. I am very glad I could spend my two days at Kent and this experience has left me very excited for my first semester this fall. "
,,,If it could be anything it needs to be touring the campus. There is nothing worse than getting yourself lost on your first day.,I truly enjoyed being able to connect with the flash guides.,To become culturally sound and make friends.,
,,,,,,
,,,,,To try my hardest and succeed ,
No,Academic advising went well. , They were great. , No,I liked it all. The whole program was great. ,To be successful,
,,,No,Late night activities,Good,
,,,,,To work my hardest and never give up,
,,"The process of trying to select my classes based on my major and which Kent Core classes I needed was very confusing. The director and assistant director of academic advising for the college of the arts weren't very helpful in explaining the process. It wasn't until I sat down with my actual academic advisor to schedule classes that the process made sense. A suggestion would be, rather than try and explain the process through words and a minimal powerpoint, have a mock advising appointment instead so the students can see for themselves what they need to have prepared for their appointments.     Also, the majority of the presentations for the College of the Arts students were geared towards fashion majors. I understand that fashion is a growing program at KSU and there are many more students entering that field, but I was one of two total students at my DKS that were majoring in Theatre Studies and I personally felt slightly disadvantaged.",,,yeah,
,,,,,To be very involved and be the best student I can be ,
,,,,,,
,,,,,"To be respectful, prideful, and proud.",
,,,,,Good grades ,
,,,More activities for students to connect with each other.,"Dividing into groups of residence living and commuters, talking and having fun with the Flashguides, registering for classes.",To figure what degree I'll be graduating with and what long life friendships I'll have.,
,,,Getting around campus,,Academic success,
Include the scoring system to explain what the score means.,I would like to know more about how to get books for classes ,All sessions were great especially the flash guides ,Getting around campus and getting books,My favorite part was meeting the flash guides I could really connect to them since they were students and their stories really gave insight about what college is like ,Academic success ,
,,,,talking to the flashguides,"do well in school, find your purpose",
,,,Some of the people I met and I felt like some of the things you covered were all things we learned on a campus tour and it got kind of boring and redundant. ,My favorite part was when we were all done with speakers and we were allowed to walk around campus and play games in eastway. ,To get organized and be on top of your school work because you parents will not longer be around. Its really time to grow up a little.  ,
,,,,,,
n/a,Very helpful people,n/a,n/a,Evening program! ,Staying motivated and doing your course load while also being involved,n/a
None ,,,,Learning and meeting new people and making friends and feeling more confident about the fall. ,To be the best I can be ,
,"My academic advising seemed a bit too slow for me. In a way, I felt that there should have been more questions asked of me, rather than me having to ask the questions. I do understand that there are people who have no idea what is going on, but that isn't always the case, and I feel like it would have been better if I was asked off the wall questions to see if I was prepared. ",,"I think that you should spend LESS time on certain topics. Some topics were just so boring and so basic, it was hard to even sit through them. ","Meeting with the flash guides by our college. I had Megan with the College of Comm. & Info, and she was absolutely so much fun when we met with her. ","As a Kent State student, I feel as though I am obligated to find who I really am, and find how I fit throughout the school. You make college what it is, and if you don't do anything, fail classes, you're failing as a person, and I feel as though I need to pass as a person. ",
,,,,,"Academic success, involvement, tolerance for others ",
,,,,Meeting new people ,Get involved and do good while you get out of your comfort zone ,
,,,,,To do your   ,
No,No,,,Talking with the flashguides,Work your hardest. ,
,My Academic Advisor couldn't meet with me so it was a difficult to have my questions answered. ,It didn't apply much to me since I'm going to Florence but it will help when I return. ,A campus tour. A walk into downtown was not enough for those of us who have never been there before. ,Meeting people I'm going to Florence with and spending time with them. ,To graduate in 4 years. To be respectful and to give back. ,
,,,,,,
,Advisor was nice and very helpful. I learned a lot about what classes I will need. She was open to discussing options and what classes interest me. My schedule is awesome and this could not have gone any better. ,,Parking services  Parta,Johanna was great. Flash guides were fun and helpful. Free shirts are nice. Advisor is awesome,Go to class. Work hard but have fun. Try new things. Meet new people,Dks registration could be improved. Last name is a b. Check in was for a-d. I waited in live over 20 minutes. There were other groupings with no line
,,,,,To be the best version of me I can be,
,,,,,To do well and succeed,
ACT scores where enough.,It was great to have a one-on-one with your future advisor. Though the class choices I made need to be altered after discussing with my parents.,Talk more about tutoring options.,Talk more about what finals are like.,Getting to interact with the flashguides.,To attend class and push your limits.,
,Advisement shouldn't assume that I'm going to want a mellow schedule. ,,"Yes, I wish they would have emphasized on what to do if you're sick and also I wish there was more planned ice breakers between students. ",I loved scheduling because I was excited for it but I want to be able to take more classes,Do my best and represent. ,"They should have a nurse on campus during this event. Getting sick on campus, away from home, without any medicine and spending the night alone throwing up in the bathroom was not fun"
,,,,,,
You covered everything great and gave me lititure to take home to re read later and save in a file for later use.,"I loved getting a bunch of t shirts, thanks 😘",,,"Food was great, thank you.",To be successful and I stumble and fall and need help ask before it gets stupid,This was a great program to show us what is expected of us.
,,,,,success ,
,,,,,To get involved,
,,,,,Good citizenship ,
Make the math multiple choice ,,,,,,
,,,,I loved all of it. It's so interactive and awesome. I can't wait to become a flashguide myself. ,"I am expected to represent my school on and off campus through my spirit, personality, as well as my academic success. ",
,She did a very good job answering all of my questions that I and about the next school year ,,How to get around campus ,Meeting other students that will be attending the college of nursing with me ,To excel and get connected with the school and community as a student ,
,,"The speakers in the ballroom were very repetitive, they would go in detail about a subject the person before talked about. This made it kind of boring.",,"I liked the part where it was just freshmen and the flashguides, it seemed more real and less like KSU is just a big business.",Get involved and get good grades,"I wish there was a part on the DKS application where you could put your gender so that you could room with someone of the same gender (as opposed to sex). I'm a trans male and it would have been nice to room with another trans person instead of a cis girl. My roommate was nice, but I was nervous about what roommate I would have (if they would ask invasive questions, be uncomfortable rooming with me, etc). Also, checking in for dorms on the female side was embarrassing and made me sad, so maybe they could just do it by last name like in the student center? Overall I just would have liked a little more consideration for trans and non-binary people. Thanks for reading, I hope there can be some good changes next year!"
,,,,,Find yourself and succeed,
,,,,,To strive academically and socially. ,
I have no feedback.,I have no feedback.,I have no feedback.,I can't think of any.,I enjoyed exploring downtown Kent and meeting new friends.,"To be prepared to work hard in your field to gain success, But to also enjoy the work you do.",No other comments.
,I felt in a rush. Little short on time.,,,,,
,I was the very last person of my college to go so I sat waiting for almost two hours to start my class scheduling which was pretty annoying but understandable with a large group of students. ,,Talking with the students ,I really enjoyed the flashguides! They were very honest when asked questions and were very fun. ,To be successful eduacationally as well as be involved with the Kent community ,I didn't care for the professor who came and spoke at DKS. What he was speaking about had nothing to do with our freshman experience. I enjoyed when we got to ask questions to him but him giving us a lecture just was strange and confusing. 
I experienced some trouble taking the Spanish Placement Test. I did not like how there was no indication of progress during testing.,I feel that it is excellent that the Academic Advisors took so much time to meet and get to know students in order to help them best make their schedules for the semester.,I would say that the session was important in generating interest in classes.,I feel the program is very comprehensive.,My favourite part of the DKS experience was the alleviation of fears about starting college.,"I believe that, as a Kent State student I am expected to work diligently to advance myself as a learner and a human being.",DKS was a rewarding experience.
,Our time to talk about what classes we needed for our specific major/college was cut short to talk to the flash guides. I enjoyed the flash guides but my main purpose was to find out what/how to schedule classes ,I felt it was cut short. I would have liked more time ,,Meeting people within my major ,To do well academically and be responsible socially ,
No,I think that students should have more time looking over the core classes when they desperate into their college because it seems a lot more stressful than it should be. ,,No,My favorite time was when the flash guides talked to the students about some keys for college life and then when we separated into smaller groups and got to know other people. There wasn't a lot of opportunities for people are shy to get to know others before that time. ,"Im expected to be a successful student, and actually try in my classes and have fun. I need to make sure that I am and others around me are safe ",
,,,,,,
,,,,Meeting people ,Do well and get involved,"The constant speeches were very boring, need more interactive activities"
,,,,,Graduate ,
,,,,The Flashguides were very relate-able and resourceful. ,To try my best and be myself.,
,,,,,,
,,,SHOWING RESIDENSE HALLS ,Eating and scheduling classes...Everything else was pointless,Alot,The whole day was pointless.. does not need to be overnight. Schedule classss and leave 
,,,,Meeting new people and taking to the flash guides,"To try my hardest at all times, get involved, ask questions, enjoy myself ",
,,,,Getting to meeting future students before classes start in the fall. ,Find my passion so I can do what I love with my life. ,
,,The flashguides were awesome and super informative and overall very nice!!!,Focus more on campus life and Greek life would have been helpful. ,Hanging out with the flashguides ,Attend class,
,,,,,To be the best me I can be ,
,,,,,Graduate with you degree.,Please make your program shorter. 
,,,No,Technology part,To graduate ,
,,,,,,
,They were very helpful and friendly.,,,,"To respect and obey the rules, to strive for success, to have pride in my school, and be the best person that I can be",
,,,,,"Make sure I can achieve my goals, and take advantage of the resources and opportunities presented to me while I'm there ",
"This might have just been my computer, but it was freezing up a little bit. ",,,I would say just showing us the campus a bit more. I don't feel like I would be able to navigate easily at the present moment.,My favorite part was the friends I made. ,As a Kent State student I believe it is expected of me to attend my classes and keep on top of them. It is not expected but encouraged of me to get involved with clubs and extra things. ,
,,,,,academic success and getting involved and discovering your purpose,
,,,,,To excel academically and enjoy college,
I was able to access it and proceed through without any problems. The steps to test were easy.  ,All advisors were very helpful and were able to assist me with all my questions and where to go to the answers I needed. I was very pleased with the whole advising experience. ,,,Meeting new friends in my field of study have already been communicating with future students in facebook and snapchat. It's great getting to know each of them and what they like and dislike about the experience.,To strive as a student and achieve all my goals. All resources are available to me at Kent State and I will succeed in my field of study by using all available assistance and resources. I am my future and it is waiting for me.,
,,,,getting to know the downtown area and meeting new people,find myself/purpose,
,,,,,"Follow the rules, go to class, do your work.  ","I loved Destination Kent State. The only problem I had throughout the whole thing was on the second day. I woke up early and took my things to my car, ate breakfast as soon as it opened, checked out, then waited in the eastway lobby area downstairs. Most people were still in breakfast, but myself and about 8 others were downstairs and when they headed over to Henderson, no one came and got us and we were left behind. Did not realize it until we saw everyone walking over there from a distance. Other than that small miscommunication, everything was great."
,,,,,"Make a new path, discover a new me and enjoy myself while succeeding in classes ",
,it felt a bit like it needed to be done quickly and I would've liked a little more time,,,I really enjoyed hanging out with the flashguides throughout the time there,Getting involved and working my hardest ,
,,,,I enjoyed the night of playing games all together. It was great to have the connections with everyone and have a great time.,To do our absolute best to reach our success.,
no,N\A,N\A,N\A,Meeting the flash guides and and making new friends,NA,N\A
,I wish I would have known to bring my unofficial high school transcript because I couldn't have my college credit counted when I scheduled my classes with my advisor.,,"Tour around whole campus, how to use buses(for commuters)",Flashguide stories gave a realistic outlook on what to expect at college,striving for my academic goals and to try new things by getting involved in some way,"I thought the person at the Eastway Center that checked me in on the first day should have told me where to go to find my dorm room, because they quickly gave me my key and gave me no details on how to get to my room."
,,,,I really enjoyed interacting with other people and walking around campus. ,I am expected to be my best self and discover that through my major and the people I meet during my time at Kent State. ,
,Adam Smith seems to me like a great advisor who is really there to help the students and cares abou their success.,"The advising prep session was good, however the teacher of the class was moving at a quick pace and didn't give the students a lot of time to look at possible classes to take in the future. When I had to put together a mock schedule that the advisors would look at, it wasn't representative of what I would've wanted to take because of the quick pace. A suggestion may be to increase the time given for the advising prep session so new students have the opportunity to find classes they would be genuinely interested in, which in turn would help to their success.",Spend more time during the advising prep session and also put a higher emphasis on buying books and supplies.,My favorite part was getting to meet people in my college major and becoming friends with some of them!,I am expected to follow all the guidelines and rules set in order for me to become successful,
,,,,,To do my best and to represent the school well,
